concelho,total,population,active_cases,recovered
ABRANTES,1532,35130,306,1226
AGUIAR DA BEIRA,732,46075,695,37
ALANDROAL,345,4652,291,54
ALBERGARIA-A-VELHA,1631,4992,95,1536
ALBUFEIRA,2092,24144,246,1846
ALCANENA,913,41528,605,308
ALCOBAÇA,2746,11659,382,2364
ALCOCHETE,1331,12809,201,1130
ALCOUTIM,37,53555,741,-704
ALCÁCER DO SAL,1061,19787,217,844
ALENQUER,2841,2159,13,2828
ALFÂNDEGA DA FÉ,496,44052,455,41
ALIJÓ,644,4550,105,539
ALJEZUR,78,10625,103,-25
ALJUSTREL,217,5594,14,203
ALMADA,12388,8247,72,12316
ALMEIDA,293,169039,2182,-1889
ALMEIRIM,1241,5830,68,1173
ALMODÔVAR,301,22546,402,-101
ALPIARÇA,225,6725,108,117
ALTER DO CHÃO,415,7059,48,367
ALVAIÁZERE,309,3165,134,175
ALVITO,110,6597,85,25
AMADORA,11628,2477,41,11587
AMARANTE,5683,184106,2441,3242
AMARES,1677,53193,583,1094
ANADIA,2415,18129,204,2211
ANGRA DO HEROÍSMO,583,27258,401,182
ANSIÃO,1010,33807,25,985
ARCOS DE VALDEVEZ,1545,12039,259,1286
ARGANIL,799,20926,471,328
ARMAMAR,774,11014,176,598
AROUCA,1873,5769,119,1754
ARRAIOLOS,437,20720,291,146
ARRONCHES,117,6928,146,-29
ARRUDA DOS VINHOS,933,2820,55,878
AVEIRO,4707,15412,259,4448
AVIS,163,78734,830,-667
AZAMBUJA,1465,4247,31,1434
BAIÃO,1432,22716,230,1202
BARCELOS,15598,18748,184,15414
BARRANCOS,54,116187,1888,-1834
BARREIRO,4957,1634,25,4932
BATALHA,777,75147,914,-137
BEJA,1841,15963,188,1653
BELMONTE,612,33579,564,48
BENAVENTE,1640,6398,65,1575
BOMBARRAL,375,30602,503,-128
BORBA,640,12558,92,548
BOTICAS,507,6736,246,261
BRAGA,19374,4998,112,19262
BRAGANÇA,3203,182679,2181,1022
CABECEIRAS DE BASTO,1171,33607,461,710
CADAVAL,432,15628,173,259
CALDAS DA RAINHA,2361,13673,81,2280
CAMINHA,1643,51912,429,1214
CAMPO MAIOR,403,33675,330,73
CANTANHEDE,2447,15877,399,2048
CARRAZEDA DE ANSIÃES,76,7874,146,-70
CARREGAL DO SAL,528,35011,473,55
CARTAXO,1129,5666,9,1120
CASCAIS,12805,9271,134,12671
CASTANHEIRA DE PÊRA,86,23843,169,-83
CASTELO BRANCO,3543,213608,2326,1217
CASTELO DE PAIVA,1089,2614,9,1080
CASTELO DE VIDE,248,51987,677,-429
CASTRO DAIRE,1081,15454,127,954
CASTRO MARIM,179,2919,43,136
CASTRO VERDE,186,13823,284,-98
CELORICO DA BEIRA,692,6237,73,619
CELORICO DE BASTO,1573,6949,32,1541
CHAMUSCA,492,6928,122,370
CHAVES,5528,19040,303,5225
CINFÃES,1547,9197,81,1466
COIMBRA,8981,39343,521,8460
CONDEIXA-A-NOVA,1174,18244,158,1016
CONSTÂNCIA,189,134166,2017,-1828
CORUCHE,768,17733,220,548
CORVO,0,4030,42,-42
COVILHÃ,2882,17471,162,2720
CRATO,395,464,0,395
CUBA,743,46787,477,266
CÂMARA DE LOBOS,1012,3129,31,981
ELVAS,1641,4595,286,1355
ENTRONCAMENTO,1067,20528,386,681
ESPINHO,2847,21558,292,2555
ESPOSENDE,4581,29516,260,4321
ESTARREJA,1897,34177,651,1246
ESTREMOZ,973,26006,392,581
FAFE,6138,12728,317,5821
FARO,2945,52428,605,2340
FELGUEIRAS,7363,48060,535,6828
FERREIRA DO ALENTEJO,279,61015,706,-427
FERREIRA DO ZÊZERE,633,56422,637,-4
FIGUEIRA DA FOZ,3575,7845,102,3473
FIGUEIRA DE CASTELO RODRIGO,892,7959,267,625
FIGUEIRÓ DOS VINHOS,555,58747,519,36
FORNOS DE ALGODRES,543,5584,309,234
FREIXO DE ESPADA À CINTA,384,5568,113,271
FRONTEIRA,142,4528,190,-48
FUNCHAL,1501,3298,12,1489
FUNDÃO,1923,2974,42,1881
GAVIÃO,433,104024,289,144
GOLEGÃ,221,26495,373,-152
GONDOMAR,15491,3263,35,15456
GOUVEIA,583,3805,130,453
GRÂNDOLA,755,5339,44,711
GUARDA,3897,165985,1901,1996
GUIMARÃES,23511,12387,119,23392
GÓIS,281,14639,121,160
HORTA,52,38969,608,-556
IDANHA-A-NOVA,720,152309,2076,-1356
LAGOA,377,14521,10,367
LAGOS,1170,8043,106,1064
LAJES DAS FLORES,2,38699,397,-395
LAJES DO PICO,2,14721,62,-60
LAMEGO,2293,30374,223,2070
LEIRIA,7407,1463,2,7405
LISBOA,38192,4490,0,38192
LOULÉ,3202,24895,378,2824
LOURES,15308,125267,1437,13871
LOURINHÃ,959,509515,7154,-6195
LOUSADA,6640,68697,966,5674
LOUSÃ,865,213687,3105,-2240
MACEDO DE CAVALEIROS,1478,25855,195,1283
MACHICO,350,17158,173,177
MADALENA,12,46755,326,-314
MAFRA,5390,6267,116,5274
MAIA,10696,14516,166,10530
MANGUALDE,1622,19981,88,1534
MANTEIGAS,323,5895,2,321
MARCO DE CANAVESES,5105,84816,1355,3750
MARINHA GRANDE,1851,138971,1078,773
MARVÃO,411,18510,321,90
MATOSINHOS,14570,3007,36,14534
MAÇÃO,523,51496,355,168
MEALHADA,1737,38508,386,1351
MELGAÇO,429,3005,33,396
MESÃO FRIO,186,175357,1576,-1390
MIRA,622,19914,396,226
MIRANDA DO CORVO,1273,4587,136,1137
MIRANDA DO DOURO,941,8093,154,787
MIRANDELA,1293,6142,73,1220
MOGADOURO,848,3964,28,820
MOIMENTA DA BEIRA,791,11832,91,700
MOITA,4362,12708,191,4171
MONCHIQUE,72,6830,153,-81
MONDIM DE BASTO,917,21754,244,673
MONFORTE,256,8392,245,11
MONTALEGRE,867,9736,264,603
MONTEMOR-O-NOVO,1127,64407,871,256
MONTEMOR-O-VELHO,1273,17869,160,1113
MONTIJO,3257,5077,2,3255
MONÇÃO,887,6946,65,822
MORA,528,2975,64,464
MORTÁGUA,725,8997,124,601
MOURA,440,15647,248,192
MOURÃO,381,25224,229,152
MURTOSA,1157,57614,584,573
MURÇA,438,4138,56,382
MÉRTOLA,489,8803,102,387
MÊDA,598,13718,212,386
NAZARÉ,539,2450,20,519
NELAS,1059,5463,89,970
NISA,808,10279,226,582
NORDESTE,22,14165,143,-121
ODEMIRA,985,12974,280,705
ODIVELAS,10937,6061,152,10785
OEIRAS,9811,4862,4,9807
OLEIROS,184,11850,122,62
OLHÃO,1550,24717,109,1441
OLIVEIRA DE AZEMÉIS,7159,161774,2368,4791
OLIVEIRA DE FRADES,678,177408,1998,-1320
OLIVEIRA DO BAIRRO,1634,5003,31,1603
OLIVEIRA DO HOSPITAL,1327,44405,393,934
OURIQUE,192,66011,795,-603
OURÉM,3039,9936,229,2810
OVAR,5191,24277,291,4900
PALMELA,4208,19253,233,3975
PAMPILHOSA DA SERRA,374,44044,791,-417
PAREDES,9493,4607,70,9423
PAREDES DE COURA,438,54260,861,-423
PAÇOS DE FERREIRA,7244,56728,330,6914
PEDRÓGÃO GRANDE,246,64269,1109,-863
PENACOVA,1177,4037,129,1048
PENAFIEL,8055,86067,738,7317
PENALVA DO CASTELO,663,8535,161,502
PENAMACOR,521,3410,75,446
PENEDONO,154,13694,334,-180
PENELA,284,69772,646,-362
PENICHE,1602,7115,269,1333
PESO DA RÉGUA,1412,4755,62,1350
PINHEL,1059,2591,56,1003
POMBAL,3327,5397,38,3289
PONTA DELGADA,1206,26501,345,861
PONTA DO SOL,84,15773,273,-189
PONTE DA BARCA,1090,8511,210,880
PONTE DE LIMA,3214,51461,870,2344
PONTE DE SOR,673,67935,175,498
PORTALEGRE,2067,8593,21,2046
PORTEL,272,11180,261,11
PORTIMÃO,1907,41315,675,1232
PORTO,18555,14994,250,18305
PORTO DE MÓS,1545,22172,181,1364
PORTO MONIZ,31,5828,74,-43
PORTO SANTO,60,55483,261,-201
POVOAÇÃO,94,216606,1988,-1894
PROENÇA-A-NOVA,222,23275,330,-108
PÓVOA DE LANHOSO,2939,2342,9,2930
PÓVOA DE VARZIM,9074,5202,54,9020
REDONDO,322,21499,372,-50
REGUENGOS DE MONSARAZ,690,62784,1003,-313
RESENDE,453,5927,4,449
RIBEIRA BRAVA,213,21317,23,190
RIBEIRA DE PENA,417,7298,28,389
RIBEIRA GRANDE,1800,6353,81,1719
RIO MAIOR,1672,10015,200,1472
SABROSA,295,10137,35,260
SABUGAL,786,12435,46,740
SALVATERRA DE MAGOS,1103,6016,115,988
SANTA COMBA DÃO,485,32811,522,-37
SANTA CRUZ,878,20379,357,521
SANTA CRUZ DA GRACIOSA,13,5918,48,-35
SANTA CRUZ DAS FLORES,7,10585,111,-104
SANTA MARIA DA FEIRA,16069,21295,286,15783
SANTA MARTA DE PENAGUIÃO,604,10452,129,475
SANTANA,79,45281,198,-119
SANTARÉM,3820,4208,1,3819
SANTIAGO DO CACÉM,538,2165,2,536
SANTO TIRSO,8612,138636,2073,6539
SARDOAL,137,6599,102,35
SEIA,1690,6711,22,1668
SEIXAL,10496,57421,803,9693
SERNANCELHE,355,28791,139,216
SERPA,647,68055,978,-331
SERTÃ,752,10416,51,701
SESIMBRA,2801,21958,297,2504
SETÚBAL,9515,7125,154,9361
SEVER DO VOUGA,935,15403,317,618
SILVES,1200,3266,0,1200
SINES,502,5143,4,498
SINTRA,24707,3741,17,24690
SOBRAL DE MONTE AGRAÇO,627,11580,280,347
SOURE,965,22234,272,693
SOUSEL,186,167752,1864,-1678
SÁTÃO,942,5396,174,768
SÃO BRÁS DE ALPORTEL,336,14304,80,256
SÃO JOÃO DA MADEIRA,2409,14577,210,2199
SÃO JOÃO DA PESQUEIRA,507,51858,544,-37
SÃO PEDRO DO SUL,1081,115126,2564,-1483
SÃO ROQUE DO PICO,6,11331,236,-230
SÃO VICENTE,36,36226,246,-210
TABUAÇO,593,13715,88,505
TAROUCA,611,391402,5390,-4779
TAVIRA,1814,10651,130,1684
TERRAS DE BOURO,470,17120,153,317
TOMAR,2176,4412,35,2141
TONDELA,1539,11368,340,1199
TORRE DE MONCORVO,378,6033,62,316
TORRES NOVAS,2313,7804,167,2146
TORRES VEDRAS,5010,24530,526,4484
TRANCOSO,767,6361,80,687
TROFA,5355,36748,744,4611
TÁBUA,996,26357,535,461
VAGOS,1208,7695,24,1184
VALE DE CAMBRA,1734,34933,569,1165
VALENÇA,1108,78530,1274,-166
VALONGO,9156,8875,201,8955
VALPAÇOS,1478,38418,417,1061
VELAS,25,22740,199,-174
VENDAS NOVAS,740,21327,275,465
VIANA DO ALENTEJO,526,13290,161,365
VIANA DO CASTELO,5360,97444,977,4383
VIDIGUEIRA,403,14818,199,204
VIEIRA DO MINHO,1381,5093,0,1381
VILA DA PRAIA DA VITÓRIA,257,11255,175,82
VILA DE REI,61,5145,126,-65
VILA DO BISPO,140,84417,1068,-928
VILA DO CONDE,10872,5510,51,10821
VILA DO PORTO,27,11842,199,-172
VILA FLOR,331,3323,13,318
VILA FRANCA DE XIRA,9370,5154,18,9352
VILA FRANCA DO CAMPO,628,79899,1308,-680
VILA NOVA DA BARQUINHA,278,5616,3,275
VILA NOVA DE CERVEIRA,563,6044,85,478
VILA NOVA DE FAMALICÃO,19132,141957,2104,17028
VILA NOVA DE FOZ CÔA,366,11051,119,247
VILA NOVA DE GAIA,24938,7461,53,24885
VILA NOVA DE PAIVA,446,8910,172,274
VILA NOVA DE POIARES,757,131676,1851,-1094
VILA POUCA DE AGUIAR,1186,6503,110,1076
VILA REAL,3920,300472,2380,1540
VILA REAL DE SANTO ANTÓNIO,732,4687,122,610
VILA VELHA DE RÓDÃO,86,6939,218,-132
VILA VERDE,4703,11961,104,4599
VILA VIÇOSA,438,49962,548,-110
VIMIOSO,567,18749,203,364
VINHAIS,366,3144,15,351
VISEU,7039,46911,719,6320
VIZELA,2902,7656,144,2758
VOUZELA,719,4023,40,679
ÁGUEDA,3667,7746,87,3580
ÉVORA,3918,97249,1601,2317
ÍLHAVO,2735,23897,215,2520
ÓBIDOS,538,9619,301,237
